,Unnamed: 1,Unnamed: 2,states,city
2,Akron,OH,Ohio,ohio/akron
3,Albany,GA,Georgia,georgia/albany
4,Albany,NY,New-York,new-york/albany
5,Albany,OR,Oregon,oregon/albany
6,Albuquerque,NM,New-Mexico,new-mexico/albuquerque
7,Alexandria,LA,Louisiana,louisiana/alexandria
8,Allentown,PA,Pennsylvania,pennsylvania/allentown
9,Altoona,PA,Pennsylvania,pennsylvania/altoona
10,Amarillo,TX,Texas,texas/amarillo
11,Anacortes,WA,Washington,washington/anacortes
12,Anaheim,CA,California,california/anaheim
13,Anchorage,AK,Alaska,alaska/anchorage
14,Anderson,IN,Indiana,indiana/anderson
15,Ann-Arbor,MI,Michigan,michigan/ann-arbor
16,Appleton,WI,Wisconsin,wisconsin/appleton
17,Arlington,TX,Texas,texas/arlington
18,Arroyo-Grande,CA,California,california/arroyo-grande
19,Asheville,NC,North-Carolina,north-carolina/asheville
20,Ashland,KY,Kentucky,kentucky/ashland
21,Ashland,OH,Ohio,ohio/ashland
22,Athens,OH,Ohio,ohio/athens
23,Atlantic-City,NJ,New-Jersey,new-jersey/atlantic-city
24,Auburn,ME,Maine,maine/auburn
25,Aurora,CO,Colorado,colorado/aurora
26,Austin,TX,Texas,texas/austin
27,Bakersfield,CA,California,california/bakersfield
28,Baltimore,MD,Maryland,maryland/baltimore
29,Bangor,ME,Maine,maine/bangor
30,Baton-Rouge,LA,Louisiana,louisiana/baton-rouge
31,Bay-City,MI,Michigan,michigan/bay-city
32,Beaumont,TX,Texas,texas/beaumont
33,Bellevue,WA,Washington,washington/bellevue
34,Bellingham,WA,Washington,washington/bellingham
35,Beloit,WI,Wisconsin,wisconsin/beloit
36,Bend,OR,Oregon,oregon/bend
37,Benton-Harbor,MI,Michigan,michigan/benton-harbor
38,Billings,MT,Montana,montana/billings
39,Biloxi,MS,Mississippi,mississippi/biloxi
40,Bismarck,ND,North-Dakota,north-dakota/bismarck
41,Blacksburg,VA,Virginia,virginia/blacksburg
42,Bloomington,IL,Illinois,illinois/bloomington
43,Bossier-City,LA,Louisiana,louisiana/bossier-city
44,Boston,MA,Massachusetts,massachusetts/boston
45,Boulder,CO,Colorado,colorado/boulder
46,Bowling-Green,KY,Kentucky,kentucky/bowling-green
47,Bradenton,FL,Florida,florida/bradenton
48,Bremerton,WA,Washington,washington/bremerton
49,Bridgeport,CT,Connecticut,connecticut/bridgeport
50,Bridgeton,NJ,New-Jersey,new-jersey/bridgeton
51,Bristol,TN,Tennessee,tennessee/bristol
52,Brookings,SD,South-Dakota,south-dakota/brookings
53,Brownsville,TX,Texas,texas/brownsville
54,Bryan,TX,Texas,texas/bryan
55,Buffalo,NY,New-York,new-york/buffalo
56,Burlington,VT,Vermont,vermont/burlington
57,Cambridge,MA,Massachusetts,massachusetts/cambridge
58,Canton,OH,Ohio,ohio/canton
59,Cape-Coral,FL,Florida,florida/cape-coral
60,Carlsbad,CA,California,california/carlsbad
61,Carmel,IN,Indiana,indiana/carmel
62,Casper,WY,Wyoming,wyoming/casper
63,Cedar-Rapids,IA,Iowa,iowa/cedar-rapids
64,Chambersburg,PA,Pennsylvania,pennsylvania/chambersburg
65,Champaign,IL,Illinois,illinois/champaign
66,Chapel-Hill,NC,North-Carolina,north-carolina/chapel-hill
67,Charleston,SC,South-Carolina,south-carolina/charleston
68,Charlotte,NC,North-Carolina,north-carolina/charlotte
69,Charlottesville,VA,Virginia,virginia/charlottesville
70,Cheyenne,WY,Wyoming,wyoming/cheyenne
71,Chicago,IL,Illinois,illinois/chicago
72,Chico,CA,California,california/chico
73,Christiansburg,VA,Virginia,virginia/christiansburg
74,Clearfield,UT,Utah,utah/clearfield
75,Clearwater,FL,Florida,florida/clearwater
76,Cleveland,OH,Ohio,ohio/cleveland
77,Clinton,IA,Iowa,iowa/clinton
78,College-Station,TX,Texas,texas/college-station
79,Colorado-Springs,CO,Colorado,colorado/colorado-springs
80,Columbia,MO,Missouri,missouri/columbia
81,Columbia,SC,South-Carolina,south-carolina/columbia
82,Columbus,IN,Indiana,indiana/columbus
83,Columbus,OH,Ohio,ohio/columbus
84,Concord,NC,North-Carolina,north-carolina/concord
85,Conway,AR,Arkansas,arkansas/conway
86,Conway,SC,South-Carolina,south-carolina/conway
87,Corcoran,CA,California,california/corcoran
88,Corpus-Christi,TX,Texas,texas/corpus-christi
89,Council-Bluffs,IA,Iowa,iowa/council-bluffs
90,Crestview,FL,Florida,florida/crestview
91,Cumberland,MD,Maryland,maryland/cumberland
92,Dallas,TX,Texas,texas/dallas
93,Dayton,OH,Ohio,ohio/dayton
94,Daytona-Beach,FL,Florida,florida/daytona-beach
95,Decatur,IL,Illinois,illinois/decatur
96,Denver,CO,Colorado,colorado/denver
97,Des-Moines,IA,Iowa,iowa/des-moines
98,Detroit,MI,Michigan,michigan/detroit
99,Douglas,AZ,Arizona,arizona/douglas
100,Dover,DE,Delaware,delaware/dover
101,Duluth,MN,Minnesota,minnesota/duluth
