,label,construction,sale,price,bed,bath,sqft,lot size,address1,address2
0,new - 20 hours ago,new construction,On,559832,3,2,0,0,"<div class=""truncate-line"" data-testid=""card-address-1"">6736 Kilamanjaro Way</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95219</div>"
1,new,new construction,On,688990,4,3,2,0,"<div class=""truncate-line"" data-testid=""card-address-1"">10356 Harmosh Ct</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95219</div>"
2,new,new construction,On,642490,4,3,2,0,"<div class=""truncate-line"" data-testid=""card-address-1"">6818 Fathom Rd</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95219</div>"
3,new,new construction,On,577399,3,2,0,0,"<div class=""truncate-line"" data-testid=""card-address-1"">6818 Kilamanjaro Way</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95219</div>"
4,new,,On,499900,4,2,2,6,"<div class=""truncate-line"" data-testid=""card-address-1"">4239 Bass Rd</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95219</div>"
5,new - 9 hours ago,,On,379999,3,1,1,8,"<div class=""truncate-line"" data-testid=""card-address-1"">311 W Norwich Dr</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95207</div>"
6,new - 12 hours ago,,On,395000,3,2,1,5,"<div class=""truncate-line"" data-testid=""card-address-1"">620 Macduff Ave</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95210</div>"
7,new,,On,599000,3,3,1,9,"<div class=""truncate-line"" data-testid=""card-address-1"">1045 Stanton Way</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95207</div>"
8,new - 15 hours ago,,On,495000,3,2,1,5,"<div class=""truncate-line"" data-testid=""card-address-1"">3875 Brook Valley Cir</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95219</div>"
9,new - 15 hours ago,,On,449950,3,2,1,7,"<div class=""truncate-line"" data-testid=""card-address-1"">242 E Banbury Dr</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95207</div>"
10,new - 14 hours ago,,On,445000,3,1,1,5,"<div class=""truncate-line"" data-testid=""card-address-1"">611 Regent St</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95204</div>"
11,new - 7 hours ago,,On,275000,2,1,815,1,"<div class=""truncate-line"" data-testid=""card-address-1"">8667 Mariners Dr Apt 86</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95219</div>"
12,new - 12 hours ago,new construction,On,459950,4,2,1,6,"<div class=""truncate-line"" data-testid=""card-address-1"">2510 S Harrison St</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95206</div>"
13,new - 6 hours ago,,On,180000,0,0,0,0,"<div class=""truncate-line"" data-testid=""card-address-1"">829 N Golden Gate Ave</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95205</div>"
14,new,new construction,On,617950,5,3,0,0,"<div class=""truncate-line"" data-testid=""card-address-1"">7224 Sambucus Way</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95219</div>"
15,new,new construction,On,667422,5,3,2,0,"<div class=""truncate-line"" data-testid=""card-address-1"">10347 Crab Apple Dr</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95219</div>"
16,new,new construction,On,705212,4,3,3,0,"<div class=""truncate-line"" data-testid=""card-address-1"">6676 Kaweah Ln</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95219</div>"
17,new,new construction,On,699950,5,3,2,0,"<div class=""truncate-line"" data-testid=""card-address-1"">6943 Foraker Dr</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95219</div>"
18,new,new construction,On,621563,4,3,2,0,"<div class=""truncate-line"" data-testid=""card-address-1"">7037 Foraker Dr</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95219</div>"
19,new,new construction,On,722987,4,3,2,0,"<div class=""truncate-line"" data-testid=""card-address-1"">10355 Crab Apple Dr</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95219</div>"
20,new,new construction,On,675868,4,3,2,0,"<div class=""truncate-line"" data-testid=""card-address-1"">6846 Fathom Rd</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95219</div>"
21,new,new construction,On,666956,4,3,2,0,"<div class=""truncate-line"" data-testid=""card-address-1"">10348 Harmosh Ct</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95219</div>"
22,new,new construction,On,589991,4,3,2,0,"<div class=""truncate-line"" data-testid=""card-address-1"">1402 Delta River Ave</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95206</div>"
23,new,new construction,On,642956,4,3,2,0,"<div class=""truncate-line"" data-testid=""card-address-1"">10340 Harmosh Ct</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95219</div>"
24,new,new construction,On,499990,3,2,1,0,"<div class=""truncate-line"" data-testid=""card-address-1"">1432 Willowedge Way</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95206</div>"
25,new,new construction,On,672362,5,3,0,0,"<div class=""truncate-line"" data-testid=""card-address-1"">10113 Downy Birch Dr</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95219</div>"
26,new,new construction,On,732490,5,3,2,0,"<div class=""truncate-line"" data-testid=""card-address-1"">10367 Crab Apple Dr</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95219</div>"
27,new,new construction,On,730043,5,3,3,0,"<div class=""truncate-line"" data-testid=""card-address-1"">6949 Foraker Dr</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95219</div>"
28,new,new construction,On,771309,4,3,2,0,"<div class=""truncate-line"" data-testid=""card-address-1"">10363 Crab Apple Dr</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95219</div>"
29,new,new construction,On,566492,4,2,0,0,"<div class=""truncate-line"" data-testid=""card-address-1"">6712 Kilamanjaro Way</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95219</div>"
30,new,new construction,On,565178,3,3,2,0,"<div class=""truncate-line"" data-testid=""card-address-1"">10364 Crab Apple Dr</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95219</div>"
